##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-POSTE_RADIO_ALIPU;1;250000
INVENTORY-STABILISATEUR;1;300000
INVENTORY-TABLETTE;1;50000
INVENTORY-PAIRE_DE_POIDS_DE_MUSCL;11;2500000
INVENTORY-SUPPORT_DES_POIDS;1;5000000
INVENTORY-ETAGERE;1;150000
INVENTORY-ROULETTE_DE_MUSCULTION;2;6000000
INVENTORY-APPAR_ASSOUPLESSEMENT;1;15000000
INVENTORY-APPAR_DE_MUSCULATION;1;15000000
INVENTORY-PAIRE_DE_GROS_DISQUE;3;2400000
INVENTORY-MIROIRE_DE_VESTIAIRE;2;60000
INVENTORY-PETIT_PORTE_MENTEAU;2;25000
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-DRAPS;43;70000
INVENTORY-ESSUIE-MAIN;64;40000
INVENTORY-LITS;27;700000
INVENTORY-MATELAS;27;1000000
INVENTORY-CAMERA;6;2500000
INVENTORY-TELEVISION;17;800000
INVENTORY-CHAUFFE-EAU;12;500000
INVENTORY-SALLON_MINISTRE;7;1000000
INVENTORY-MACHINE_A_LAVER;3;1500000
INVENTORY-MIROIRES;25;25000
INVENTORY-STABILISATEUR;2;150000
INVENTORY-ROUTEUR;3;150000
INVENTORY-MOUSTIQUAIRE;25;60000
INVENTORY-TELEPHONE_FIXE;15;180000
INVENTORY-CHAISE;51;70000
INVENTORY-TAPIS;44;15000
INVENTORY-SEAUX;37;12000
INVENTORY-BABOUCHE;25;4000
INVENTORY-ALLONGES;7;20000
INVENTORY-CONTRE_FAUTEUIL;3;5000
INVENTORY-GRAND_BASSIN;5;35000
INVENTORY-FAIRE_A_REPASSER;2;65000
INVENTORY-POUBELLES;25;15000
INVENTORY-FRIGOT;1;2000000
INVENTORY-TE_OREILLE;39;5000
INVENTORY-DECODEUR;6;70000
INVENTORY-RIDEAUX;67;40000
INVENTORY-RIDEAUX_DU_JOUR;6;60000
INVENTORY-PORTE_MENTAUX;51;15000
INVENTORY-PORTE_RIDEAU;27;80000
INVENTORY-MALES;3;60000
INVENTORY-EXTINCTEUR;2;320000
INVENTORY-ORDINATEUR_DE_BUREAU;1;300000
INVENTORY-PHOTOCOPIEUSE;1;3000000
INVENTORY-CENTRAL_TELEPHONIQUE;1;11200000
INVENTORY-BAGAGE_EAU;6;140000
INVENTORY-COUVRE-LITS;27;200000
INVENTORY-ETAGERE;1;150000
INVENTORY-IMPRIMANTE;2;400000
INVENTORY-TABLE;40;20000
INVENTORY-TELECOMMANDE;15;20000
INVENTORY-CONTOIRE;1;1500000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-ASSIETTE;196;10000
INVENTORY-FLUTEUSES;4;250000
INVENTORY-BASSINS-G;8;35000
INVENTORY-TAMIS;11;0
INVENTORY-IMBABURA;7;15000
INVENTORY-ISAFURIYA;11;20000
INVENTORY-IKARAYI;6;15000
INVENTORY-MIXEUR;1;180000
INVENTORY-CONGELATEUR;2;500000
INVENTORY-CUISINIERE;1;4700000
INVENTORY-BALANCE;2;45000
INVENTORY-PLANCHES;3;25000
INVENTORY-PALLETTE;6;20000
INVENTORY-IPANU;6;30000
INVENTORY-BASSIN_P;13;4000
INVENTORY-IBIRIKA;12;5000
INVENTORY-FOURCHETTE;101;2000
INVENTORY-COUTEAU_DE_TABLE;84;2000
INVENTORY-UTUYIKO_DUTOYA;51;1500
INVENTORY-BOLLE;76;5000
INVENTORY-CHAUFFE_EAU;2;45000
INVENTORY-TABLE_DE_CUISINE;8;40000
INVENTORY-CABELAS;1;0
INVENTORY-ROUCHE;5;2500
INVENTORY-MACHETTE_DE_CUISINE;3;8000
INVENTORY-FOUR_AKABENZI;1;6500000
INVENTORY-VANTILATEUR;1;600000
INVENTORY-CALCULATRICE;1;10000
;;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CARTON_AMSTEL_G;67;45000
INVENTORY-CARTON_P_AMSTEL;28;80000
INVENTORY-CARTON_PRIMUS_G;26;25000
INVENTORY-CARTON_PRIMUS_P;33;45000
INVENTORY-CARTON_VIVA;36;55000
INVENTORY-CARTON_FANTA;81;35000
INVENTORY-CARTON_ROYALE;41;100000
INVENTORY-CARTON_SOMA;4;0
INVENTORY-CARTON_SKOL;20;0
INVENTORY-CARTON_TUSKER;2;0
INVENTORY-CARTON_SMINOFF;2;0
INVENTORY-BOUTEUILLE_SOMA;12;0
INVENTORY-BOUTEUILLE_AMSTEL_G;6;4000
INVENTORY-BOUTEUILLE_AMSTEL_P;5;4000
INVENTORY-BOUTEUILLE_PRIMUS_G ;7;4000
INVENTORY-BOUTEUILLE_PRIMUS_P ;13;4000
INVENTORY-BOUTEUILLE_FANTA;17;1000
INVENTORY-BOUTEUILLE_VIVA;8;1000
INVENTORY-BOUTEUILLE_ROYALE;3;5000
INVENTORY-CARTON_VIDE_AMSTEL_G;7;10000
INVENTORY-CARTON_VIDE_AMSTEL_P;33;5000
INVENTORY-CARTON_VIDE_PRIMUS_G;16;5000
INVENTORY-CARTON_VIDE_VIVA;13;5000
INVENTORY-CHAISES;146;45000
INVENTORY-TABLES;48;81250
INVENTORY-CHAISE_DE_COMPTOIR;44;150000
INVENTORY-TABLES_DE_COMPTOIR;10;266000
INVENTORY-CHAISE_FAUTEUILS;6;400000
INVENTORY-CHAISES_BRARUDI;270;3500
INVENTORY-TABLES_BRARUDI;44;60000
INVENTORY-IMITAKA_YA_BRARUDI;30;150000
INVENTORY-BILLARD;2;5000000
INVENTORY-FRIGO;2;3000000
INVENTORY-FRIGO_BRARUDI;1;0
INVENTORY-ORDINATEUR;1;400000
INVENTORY-IMPRIMANTE;1;1000000
INVENTORY-PARAPLUIE;5;12000
INVENTORY-CARCULATRICE;1;10000
INVENTORY-POUBELLE;3;10000
INVENTORY-CAMERA;1;0
INVENROTY-CONGELATEUR;1;200000
INVENTORY-ROUTEUR;1;0
INVENTORY-VERRE-SIMPLE;50;5000
INVENTORY-CONGELATEUR-BRARUDI;1;0
INVENTORY-PLATEAUX;9;10000
INVENTORY-COUPE;30;5000
INVENTORY-VERRE-DE-VIN;19;5000
INVENTORY-VERRE-BRARUDI;146;0
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-TISSU;80;20000
INVENTORY-MIXEUR;1;9500000
INVENTORY-RETRO_PROJECTEUR;4;450000
INVENTORY-ALLONGE;8;15000
;;
;;
;;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-TISSU;10;20000
INVENTORY-RADIO;1;5100000
INVENTORY-HAUT_PARLEUR;1;3700000
INVENTORY-RETRO_PROJECTEUR;1;450000
INVENTORY-VENTILLATEUR;2;800000
INVENTORY-MIXEUR;1;1200000
INVENTORY-RADIO-SIMPLE;1;1000000
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CAMIONNETTE;1;30000000
INVENTORY-GROUPE_ELECTOGENE;1;20000000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CAMIONNETTE;1;25000000
INVENTORY-GROUPE_ELECTOGENE-1;1;35000000
INVENTORY-GROUPE_ELECTOGENE-2;1;25000000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-AMBALLAGE-DE-25KG;1054;1000
INVENTORY-AMBALLAGE-DE-10KG;809;700
INVENTORY-AMBALLAGE-DE-5KG;1701;650
INVENTORY-AMBALLAGE-DE-1KG;3859;700
INVENTORY-AMBALLAGE-DE-500G;677;550
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-MAïS;874;1500
INVENTORY-SORGHO;1040;1700
INVENTORY-SOJA;1024;2000
INVENTORY-BLE;110;2700
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-LIGNE-ELECTRIQUE;1;60000000
INVENTORY-GROUPE-ELECTROGENE;1;50000000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-DROYER;1;0
INVENTORY-GRADER;1;5000000
INVENTORY-MACHINE-CYNCLONE;1;4000000
INVENTORY-MELANGEUR;1;9000000
INVENTORY-TORREFACTEUR;1;8550000
INVENTORY-CHAINE-DE-PRODUCTION-MAΪS;1;0
INVENTORY-CYNCLONE-INOXYDABLE;2;7500000
INVENTORY-CHAINE-DE-PRODUCTION-RIZ;1;0
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-FARINE-DE-MAΪS-DE-25KG;0;
INVENTORY-FARINE-DE-MAΪS-10KG;0;
INVENTORY-FARINE-DE-MAΪS-5KG;0;
INVENTORY-FARINE-DE-BOULLIE-DE-1KG;0;
INVENTORY-FARINE-DE-BOULLIE-DE-500G;0;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-SON-DE-MAΪS-QUALITE-1;0;
INVENTORY-SON-DE-MAΪS-QUALITE-2;0;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-MACHINE-A-COUDRE;1;500000
INVENTORY-BALANCE-ELECTRONIQUE;1;600000
INVENTORY-BALANCE-ZHUSHENG;1;1000000
IMVENTORY-ALLONGE;1;20000
INVENTORY-TABLE-DE-BUREAU;1;60000
INVENTORY-CHAISE;1;15000
INVENTORY-UNIFORME;9;10000
INVENTORY-BOTUNE;6;15000
INVENTORY-MARMITE;1;60000
INVENTORY-BECHE;4;6000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-MERCEDES-BENZ-3236;1;0
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-BATIMENT;3;0
