##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-TAPIS_AU_SOL;4;100000
INVENTORY-PETIT_TAPIS_;8;100000
INVENTORY-POUILIE_MULTICOMBINE;1;5000000
INVENTORY-APAREIL_DE_MUSCULATION;1;15000000
INVENTORY-ALTHERE_AVEC_SES_DISQUES;1;5000000
INVENTORY-SUPPORT_ALTHERE;1;5000000
INVENTORY-BANC_DE_MUSCULATION;1;12000000
INVENTORY-APPAREIL_VIBRO-MASSER;1;2000000
INVENTORY-PESEPERSONNE;1;5000000
INVENTORY-BALLONS_SUISSE;4;5000000
INVENTORY-VELO_CARDIOLOGIQUE;3;5000000
INVENTORY-ASPIRATEUR_DES_TAPIS;1;5000000
INVENTORY-POSTE_RADIO_ALIPU;1;250000
INVENTORY-STABILISATEUR-GYMNASE;1;300000
INVENTORY-TABLETTE;1;50000
INVENTORY-PAIRE_DE_POIDS_DE_MUSCL;11;2500000
INVENTORY-SUPPORT_DES_POIDS;1;5000000
INVENTORY-ETAGERE-GYMNASE;1;150000
INVENTORY-ROULETTE_DE_MUSCULTION;2;6000000
INVENTORY-APPAR_ASSOUPLESSEMENT;1;15000000
INVENTORY-APPAR_DE_MUSCULATION;1;15000000
INVENTORY-PAIRE_DE_GROS_DISQUE;3;2400000
INVENTORY-MIROIRE_DE_VESTIAIRE;2;60000
INVENTORY-PETIT_PORTE_MENTEAU-GYM;2;25000
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-DRAPS;43;70000
INVENTORY-ESSUIE-MAIN;64;40000
INVENTORY-LITS;27;700000
INVENTORY-MATELAS;27;1000000
INVENTORY-CAMERA-ICIZANYE;6;2500000
INVENTORY-TELEVISION-RECEPTION;17;800000
INVENTORY-CHAUFFE-EAU-RECEPTION;12;500000
INVENTORY-SALLON_MINISTRE;1;1000000
INVENTORY-MACHINE_A_LAVER;1;1500000
INVENTORY-MIROIRES;25;25000
INVENTORY-STABILISATEUR-RECEPTION;2;150000
INVENTORY-ROUTEUR;3;150000
INVENTORY-MOUSTIQUAIRE;25;60000
INVENTORY-TELEPHONE_FIXE;15;180000
INVENTORY-CHAISE-RECEPTION;51;70000
INVENTORY-TAPIS;44;15000
INVENTORY-SEAUX-RECEPTION;37;12000
INVENTORY-BABOUCHE;25;4000
INVENTORY-ALLONGES-RECEPTION;7;20000
INVENTORY-CONTRE_FAUTEUIL;3;5000
INVENTORY-GRAND_BASSIN-RECEPTION;5;35000
INVENTORY-FAIRE_A_REPASSER;2;65000
INVENTORY-POUBELLES;25;15000
INVENTORY-FRIGOT-RECEPTION;1;2000000
INVENTORY-TE_OREILLE;39;5000
INVENTORY-DECODEUR;6;70000
INVENTORY-RIDEAUX;67;40000
INVENTORY-RIDEAUX_DU_JOUR;6;60000
INVENTORY-PORTE_MENTAUX_RECEPTION;51;15000
INVENTORY-PORTE_RIDEAU;27;80000
INVENTORY-MALES;3;60000
INVENTORY-EXTINCTEUR;2;320000
INVENTORY-ORDINATEUR_DE_BUREAU-RECEPTION;1;800000
INVENTORY-PHOTOCOPIEUSE;1;3000000
INVENTORY-CENTRAL_TELEPHONIQUE;1;11200000
INVENTORY-BAGAGE_EAU;6;140000
INVENTORY-COUVRE-LITS;27;200000
INVENTORY-ETAGERE-RECEPTION;1;150000
INVENTORY-IMPRIMANTE-RECEPTION;1;400000
INVENTORY-TABLE-RECEPTION;40;20000
INVENTORY-TELECOMMANDE;15;20000
INVENTORY-CONTOIRE-RECEPTION;1;1500000
;;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-TISSU-ICIZANYE;80;20000
INVENTORY-MIXEUR-ICIZANYE;1;1200000
INVENTORY-RETRO_PROJECTEUR-ICIZANYE;3;450000
INVENTORY-ALLONGE-SALLE-ICIZANYE;8;15000
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CAMIONNETTE-ICIZANYE;1;25000000
INVENTORY-GROUPE_ELECTOGENE-1;1;35000000
INVENTORY-GROUPE_ELECTOGENE-2;1;25000000
